900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900364443;Алексеев А.А.;Покров г., Ленина пер, 81, 134;519;52.76;3300000001 ХВС;0
900364521;Кузнецов А.А.;Кольчугино г., Молодежная ул, Дом не указан, Квартира не указана;519;216.80
900364541;Егоров Е.Е.;Суздаль г., Строительная тер, 95, 68;519;262.83;3300000001 ХВС;0
900364554;Васильев Е.Е.;Семьинское с., Гагарина шоссе, 50, 30;519;0
900364578;Фёдоров Ф.Ф.;Телегино д., Пушкина тер, 116, 116;519;404.94;3300000001 ХВС;0
900364586;Смирнов В.В.;Новоселка д., Садовая пер, Дом не указан, Квартира не указана;519;236.59
900364603;Иванов И.И.;Муром г., Мира пр-кт, 27, 37;519;351.97;3300000001 ХВС;0
900364635;Фёдоров Ф.Ф.;Лемешки с., Молодежная пл, 131, 45;519;249.35;3300000001 ХВС;0
900364660;Алексеев А.А.;Красная Горбатка п., Пушкина шоссе, 34, 36;519;0
900364673;данные отсутствуют;Красная Горбатка п., Свободы пр-кт, 119, 0;519;237.95
900364705;Семёнов С.С.;Сокол п., Школьная мкр, 11, 124;519;0
900364710;Лебедев Л.Л.;Лакинск г., Строительная наб, 84, 57;519;412.43;3300000001 ХВС;0
900364725;Сидоров С.С.;Головино п., Улица не указана, Пионерская, 0;0;0
900364727;Волков В.В.;Головино п., Улица не указана, Строительная, 0;0;0
900364746;Кузнецов А.А.;Гусь-Хрустальный г., Молодежная пер, 50, 148;519;0
900364768;Новиков Н.Н.;Муром г., Победы шоссе, 50, 17;519;0
900364769;Смирнов В.В.;Лемешки с., Школьная пл, 93, 5;519;120.88;3300000001 ХВС;0
900364783;Морозов М.М.;Вязники г., Улица не указана, Комсомольская, 0;0;0
900364789;Петров П.П.;Ставрово п., Комсомольская пл, 35, 102;519;328.82;3300000001 ХВС;0
900364843;Кузнецов А.А.;Семьинское с., Мира пер, 56, 9;519;397.64;3300000001 ХВС;0
900364884;Новиков Н.Н.;Киржач г., Улица не указана, Победы, 0;0;0
900364896;Васильев Е.Е.;Бавлены п., Улица не указана, Гагарина, 0;0;0
900364918;Кузнецов А.А.;Бавлены п., Комсомольская пр-кт, Дом не указан, Квартира не указана;519;413.77
900364951;Попов Д.Д.;Лемешки с., Улица не указана, Полевая, 0;0;0
900364957;Лебедев Л.Л.;Лакинск г., Пушкина пр-кт, Дом не указан, Квартира не указана;519;139.01
900364984;данные отсутствуют;Ковров г., Молодежная ул, 36, 0;519;394.84
900365057;Волков В.В.;Вязники г., Колхозная тер, 98, 9;519;0
900365075;Алексеев А.А.;Покров г., Садовая ул, 48, 145;519;0
900365090;Семёнов С.С.;Головино п., Мира шоссе, 3, 84;519;0
900365107;Кузнецов А.А.;Головино п., Школьная б-р, Дом не указан, Квартира не указана;519;184.32
900365119;Новиков Н.Н.;Киржач г., Набережная пл, Дом не указан, Квартира не указана;519;171.35
900365127;Лебедев Л.Л.;Покров г., Луговая б-р, Дом не указан, Квартира не указана;519;533.87
900365140;данные отсутствуют;Суздаль г., Строительная б-р, 8, 0;519;53.21
900365169;Васильев Е.Е.;Новоселка д., Школьная пр-кт, 150, 40;519;0
900365219;Попов Д.Д.;Телегино д., Пионерская ул, 138, 59;519;0
900365257;Кузнецов А.А.;Бавлены п., Октябрьская пр-кт, 109, 109;519;0
900365278;Михайлов М.М.;Муром г., Молодежная пер, 142, 124;519;447.65;3300000001 ХВС;0
900365293;Новиков Н.Н.;Александров г., Школьная тер, 61, 7;519;451.68;3300000001 ХВС;0
900365297;Петров П.П.;Боголюбово п., Строительная шоссе, Дом не указан, Квартира не указана;519;362.82
900365338;данные отсутствуют;Юрьевец п., Ленина мкр, 123, 0;519;65.01
900365341;Семёнов С.С.;Беречино д., Советская ул, 143А, 143;519;540.46;3300000001 ХВС;0
900365353;Лебедев Л.Л.;Лемешки с., Мира наб, 131, 112;519;0
900365454;Волков В.В.;Ставрово п., Победы наб, 37, 41;519;325.93;3300000001 ХВС;0
900365460;Сидоров С.С.;Камешково г., Лесная пл, Дом не указан, Квартира не указана;519;460.48
900365498;Алексеев А.А.;Киржач г., Улица не указана, Садовая, 0;0;0
900365501;Фёдоров Ф.Ф.;Юрьевец п., Победы тер, 145, 65;519;0
900365514;Петров П.П.;Сокол п., Улица не указана, Гагарина, 0;0;0
900365528;Морозов М.М.;Киржач г., Полевая б-р, 18, 92;519;0
900365572;Лебедев Л.Л.;Лемешки с., Гагарина наб, 113, 132;519;0
900365583;Новиков Н.Н.;Бавлены п., Лесная б-р, 18А, 79;519;0
900365605;данные отсутствуют;Александров г., Центральная пер, 125А, 0;519;247.62
900365607;Волков В.В.;Александров г., Молодежная пер, Дом не указан, Квартира не указана;519;263.53
900365649;Сидоров С.С.;Новоселка д., Победы б-р, 8, 145;519;0
900365666;данные отсутствуют;Новоселка д., Набережная б-р, 42, 0;519;88.10
900365671;данные отсутствуют;Боголюбово п., Центральная пер, 125, 0;519;532.31
900365686;Лебедев Л.Л.;Муром г., Улица не указана, Ленина, 0;0;0
900365724;Новиков Н.Н.;Гусь-Хрустальный г., Школьная шоссе, 18, 91;519;508.35;3300000001 ХВС;0
900365733;Михайлов М.М.;Новоселка д., Свободы ул, 51, 68;519;244.94;3300000001 ХВС;0
900365813;данные отсутствуют;Телегино д., Заречная ул, 76, 0;519;167.00
900365819;данные отсутствуют;Сокол п., Лесная пр-кт, 114, 0;519;431.71
900365841;Алексеев А.А.;Беречино д., Улица не указана, Строительная, 0;0;0
900365844;данные отсутствуют;Юрьевец п., Мира пр-кт, 127, 0;519;510.79
900365884;Попов Д.Д.;Красная Горбатка п., Колхозная пл, 3, 10;519;0
900365886;данные отсутствуют;Бавлены п., Победы наб, 113, 0;519;496.10
900365897;Смирнов В.В.;Красная Горбатка п., Свободы ул, 94, 113;519;0
900365942;данные отсутствуют;Красная Горбатка п., Мира б-р, 12, 0;519;524.80
900365943;данные отсутствуют;Лакинск г., Победы пр-кт, 36, 0;519;289.19
900365960;Лебедев Л.Л.;Гусь-Хрустальный г., Советская мкр, 116, 88;519;181.20;3300000001 ХВС;0
900365964;Алексеев А.А.;Муром г., Улица не указана, Луговая, 0;0;0
900365980;Лебедев Л.Л.;Сокол п., Гагарина пер, 145, 70;519;466.34;3300000001 ХВС;0
